"resp","task","choice","brand","ad","price"
1,1,1,"N","Yes",28
1,1,0,"H","Yes",16
1,1,0,"P","Yes",16
1,2,0,"N","Yes",32
1,2,1,"P","Yes",16
1,2,0,"N","Yes",24
1,3,0,"P","No",8
1,3,1,"H","Yes",24
1,3,0,"N","No",24
1,4,0,"P","No",28
1,4,0,"P","Yes",12
1,4,1,"P","Yes",24
1,5,1,"N","Yes",20
1,5,0,"H","No",28
1,5,0,"P","Yes",16
1,6,1,"H","No",12
1,6,0,"H","Yes",16
1,6,0,"P","Yes",28
1,7,0,"H","Yes",12
1,7,1,"P","No",32
1,7,0,"N","No",12
1,8,0,"N","Yes",12
1,8,0,"H","Yes",24
1,8,1,"P","Yes",28
1,9,0,"P","No",24
1,9,0,"P","No",8
1,9,1,"P","Yes",12
1,10,1,"H","No",16
1,10,0,"H","Yes",28
1,10,0,"H","Yes",24
2,1,0,"H","Yes",16
2,1,1,"P","No",32
2,1,0,"P","Yes",24
2,2,0,"H","No",24
2,2,0,"H","No",8
2,2,1,"P","Yes",12
2,3,0,"N","Yes",28
2,3,0,"P","No",16
2,3,1,"N","No",28
2,4,0,"N","Yes",24
2,4,1,"N","No",20
2,4,0,"H","No",32
2,5,1,"P","No",20
2,5,0,"P","No",28
2,5,0,"N","No",32
2,6,0,"N","Yes",28
2,6,1,"H","No",24
2,6,0,"P","No",28
2,7,1,"N","Yes",12
2,7,0,"H","Yes",8
2,7,0,"P","No",20
2,8,0,"H","Yes",20
2,8,0,"N","Yes",32
2,8,1,"P","Yes",12
2,9,1,"H","No",32
2,9,0,"N","No",28
2,9,0,"N","No",12
2,10,0,"P","Yes",20
2,10,1,"P","No",16
2,10,0,"P","No",28
3,1,0,"H","No",24
3,1,0,"H","Yes",16
3,1,1,"H","No",20
3,2,1,"N","Yes",12
3,2,0,"P","No",24
3,2,0,"H","Yes",16
3,3,0,"P","Yes",28
3,3,1,"N","Yes",12
3,3,0,"H","Yes",24
3,4,1,"N","No",16
3,4,0,"H","No",20
3,4,0,"P","Yes",28
3,5,0,"H","No",28
3,5,1,"N","Yes",20
3,5,0,"N","Yes",24
3,6,0,"H","Yes",12
3,6,0,"N","Yes",12
3,6,1,"N","No",28
3,7,0,"H","Yes",32
3,7,0,"N","No",8
3,7,1,"N","Yes",8
3,8,0,"N","Yes",24
3,8,1,"N","No",16
3,8,0,"H","No",20
3,9,0,"P","Yes",20
3,9,1,"N","No",32
3,9,0,"H","Yes",8
3,10,1,"N","No",20
3,10,0,"P","Yes",20
3,10,0,"P","No",12
4,1,0,"H","Yes",20
4,1,1,"P","Yes",8
4,1,0,"N","Yes",16
4,2,1,"P","Yes",12
4,2,0,"P","Yes",28
4,2,0,"H","No",28
4,3,1,"N","No",16
4,3,0,"P","No",20
4,3,0,"H","Yes",28
4,4,0,"N","Yes",24
4,4,0,"P","Yes",12
4,4,1,"H","No",16
4,5,0,"N","Yes",12
4,5,0,"H","No",32
4,5,1,"N","No",12
4,6,0,"P","No",20
4,6,1,"P","Yes",24
4,6,0,"H","Yes",28
4,7,1,"N","No",12
4,7,0,"N","Yes",16
4,7,0,"P","No",12
4,8,1,"N","Yes",12
4,8,0,"N","Yes",24
4,8,0,"P","No",20
4,9,0,"H","No",20
4,9,0,"H","Yes",12
4,9,1,"N","Yes",32
4,10,0,"H","No",8
4,10,0,"H","Yes",24
4,10,1,"N","Yes",8
5,1,0,"P","No",16
5,1,1,"P","No",24
5,1,0,"P","Yes",24
5,2,0,"P","Yes",24
5,2,1,"P","No",32
5,2,0,"P","Yes",20
5,3,0,"N","Yes",28
5,3,0,"P","No",24
5,3,1,"P","No",16
5,4,0,"P","Yes",20
5,4,0,"P","No",28
5,4,1,"N","Yes",24
5,5,1,"N","No",8
5,5,0,"N","No",12
5,5,0,"H","Yes",28
5,6,1,"P","Yes",12
5,6,0,"N","Yes",24
5,6,0,"H","Yes",20
5,7,1,"N","Yes",28
5,7,0,"H","No",8
5,7,0,"N","Yes",12
5,8,1,"P","No",16
5,8,0,"N","No",24
5,8,0,"N","No",32
5,9,1,"P","Yes",20
5,9,0,"H","No",16
5,9,0,"P","No",24
5,10,1,"P","Yes",8
5,10,0,"N","Yes",16
5,10,0,"H","No",20
6,1,1,"H","No",16
6,1,0,"P","Yes",8
6,1,0,"N","Yes",32
6,2,1,"N","Yes",16
6,2,0,"H","No",8
6,2,0,"P","Yes",32
6,3,1,"N","No",16
6,3,0,"P","No",28
6,3,0,"H","No",28
6,4,0,"P","No",20
6,4,1,"H","Yes",8
6,4,0,"N","Yes",28
6,5,0,"P","No",20
6,5,0,"H","Yes",8
6,5,1,"H","Yes",12
6,6,0,"N","Yes",28
6,6,1,"H","No",24
6,6,0,"H","Yes",12
6,7,0,"P","No",32
6,7,0,"N","No",24
6,7,1,"P","No",24
6,8,0,"N","Yes",32
6,8,0,"H","Yes",28
6,8,1,"N","Yes",20
6,9,1,"P","No",16
6,9,0,"H","No",12
6,9,0,"H","No",24
6,10,1,"H","Yes",8
6,10,0,"H","No",16
6,10,0,"P","Yes",28
7,1,1,"N","No",32
7,1,0,"P","Yes",28
7,1,0,"P","Yes",24
7,2,1,"P","Yes",20
7,2,0,"P","No",24
7,2,0,"H","No",32
7,3,0,"P","Yes",12
7,3,0,"H","Yes",32
7,3,1,"N","No",12
7,4,0,"N","No",32
7,4,0,"P","No",12
7,4,1,"P","Yes",8
7,5,0,"N","Yes",28
7,5,0,"H","No",24
7,5,1,"N","No",20
7,6,0,"P","No",8
7,6,0,"H","No",28
7,6,1,"H","Yes",28
7,7,1,"H","No",12
7,7,0,"N","No",24
7,7,0,"P","Yes",8
7,8,0,"H","No",8
7,8,1,"N","No",16
7,8,0,"H","Yes",16
7,9,0,"H","Yes",28
7,9,0,"H","No",32
7,9,1,"P","No",12
7,10,1,"N","No",12
7,10,0,"H","No",20
7,10,0,"N","No",24
8,1,1,"P","Yes",20
8,1,0,"H","Yes",12
8,1,0,"P","No",12
8,2,1,"P","No",8
8,2,0,"P","No",24
8,2,0,"H","No",8
8,3,0,"P","No",12
8,3,1,"H","No",8
8,3,0,"P","Yes",28
8,4,0,"P","Yes",28
8,4,0,"H","Yes",24
8,4,1,"H","No",24
8,5,1,"N","No",24
8,5,0,"H","Yes",8
8,5,0,"N","No",32
8,6,0,"H","No",32
8,6,0,"H","No",24
8,6,1,"N","No",12
8,7,1,"H","No",28
8,7,0,"P","No",32
8,7,0,"N","Yes",24
8,8,0,"N","No",20
8,8,1,"H","No",20
8,8,0,"H","Yes",32
8,9,1,"N","Yes",32
8,9,0,"H","Yes",16
8,9,0,"N","No",16
8,10,0,"N","Yes",32
8,10,0,"H","Yes",32
8,10,1,"N","No",16
9,1,1,"H","No",24
9,1,0,"N","No",12
9,1,0,"N","No",28
9,2,1,"P","Yes",20
9,2,0,"P","Yes",16
9,2,0,"H","No",8
9,3,1,"P","Yes",12
9,3,0,"P","No",12
9,3,0,"H","Yes",20
9,4,0,"P","No",20
9,4,0,"P","Yes",12
9,4,1,"N","No",12
9,5,1,"H","No",8
9,5,0,"N","No",32
9,5,0,"H","No",32
9,6,0,"P","Yes",28
9,6,0,"P","No",28
9,6,1,"N","No",24
9,7,0,"P","No",8
9,7,1,"P","No",12
9,7,0,"P","Yes",20
9,8,1,"N","No",12
9,8,0,"N","Yes",12
9,8,0,"P","Yes",32
9,9,1,"P","No",20
9,9,0,"N","No",28
9,9,0,"H","No",20
9,10,0,"P","No",20
9,10,1,"P","No",12
9,10,0,"H","Yes",28
10,1,1,"H","Yes",8
10,1,0,"H","Yes",28
10,1,0,"H","No",24
10,2,0,"N","No",32
10,2,0,"P","Yes",20
10,2,1,"P","Yes",16
10,3,0,"N","No",32
10,3,0,"P","No",28
10,3,1,"N","Yes",28
10,4,1,"N","No",20
10,4,0,"P","No",24
10,4,0,"H","Yes",28
10,5,1,"N","Yes",28
10,5,0,"P","Yes",12
10,5,0,"H","No",20
10,6,0,"N","Yes",32
10,6,0,"P","Yes",28
10,6,1,"P","No",16
10,7,1,"P","No",20
10,7,0,"P","Yes",24
10,7,0,"H","No",28
10,8,1,"H","No",28
10,8,0,"H","Yes",8
10,8,0,"H","Yes",32
10,9,0,"P","Yes",24
10,9,1,"N","No",24
10,9,0,"H","No",32
10,10,0,"P","Yes",32
10,10,1,"N","No",12
10,10,0,"H","No",32
11,1,0,"N","No",16
11,1,1,"P","Yes",8
11,1,0,"N","No",32
11,2,1,"P","Yes",12
11,2,0,"P","No",32
11,2,0,"H","No",32
11,3,0,"H","Yes",28
11,3,0,"H","Yes",8
11,3,1,"N","No",32
11,4,1,"N","Yes",12
11,4,0,"N","Yes",16
11,4,0,"P","No",24
11,5,0,"N","No",16
11,5,1,"N","Yes",12
11,5,0,"H","No",28
11,6,0,"H","Yes",24
11,6,1,"N","Yes",16
11,6,0,"P","Yes",20
11,7,0,"P","No",32
11,7,1,"H","No",12
11,7,0,"P","Yes",12
11,8,1,"N","Yes",20
11,8,0,"H","Yes",32
11,8,0,"P","No",20
11,9,0,"N","Yes",12
11,9,0,"N","No",8
11,9,1,"N","No",12
11,10,1,"H","Yes",8
11,10,0,"N","Yes",32
11,10,0,"P","Yes",16
12,1,1,"H","Yes",28
12,1,0,"N","Yes",20
12,1,0,"N","Yes",32
12,2,0,"H","No",24
12,2,1,"N","No",8
12,2,0,"P","Yes",24
12,3,0,"H","No",28
12,3,1,"N","Yes",20
12,3,0,"P","No",28
12,4,1,"P","No",20
12,4,0,"P","No",32
12,4,0,"N","Yes",24
12,5,0,"H","Yes",20
12,5,0,"P","No",8
12,5,1,"H","No",12
12,6,0,"N","No",8
12,6,0,"P","No",20
12,6,1,"P","Yes",12
12,7,1,"N","Yes",32
12,7,0,"P","No",12
12,7,0,"H","Yes",16
12,8,0,"H","No",32
12,8,1,"H","Yes",16
12,8,0,"P","No",32
12,9,0,"N","Yes",24
12,9,0,"H","No",28
12,9,1,"H","Yes",8
12,10,0,"N","No",32
12,10,0,"N","Yes",32
12,10,1,"H","No",20
13,1,1,"P","No",12
13,1,0,"N","No",12
13,1,0,"P","No",24
13,2,0,"P","Yes",28
13,2,0,"N","Yes",24
13,2,1,"P","No",12
13,3,0,"N","Yes",28
13,3,0,"N","No",12
13,3,1,"H","No",20
13,4,0,"N","No",12
13,4,1,"P","Yes",12
13,4,0,"P","Yes",28
13,5,1,"P","No",16
13,5,0,"P","Yes",20
13,5,0,"H","Yes",28
13,6,1,"N","No",12
13,6,0,"P","Yes",8
13,6,0,"H","Yes",16
13,7,1,"P","No",28
13,7,0,"P","Yes",8
13,7,0,"H","No",8
13,8,0,"H","Yes",12
13,8,0,"P","No",20
13,8,1,"N","Yes",24
13,9,0,"P","Yes",12
13,9,1,"P","No",24
13,9,0,"H","Yes",20
13,10,0,"N","No",28
13,10,0,"P","No",32
13,10,1,"P","No",12
14,1,1,"P","No",12
14,1,0,"H","Yes",28
14,1,0,"H","No",32
14,2,0,"H","Yes",20
14,2,1,"N","No",12
14,2,0,"H","Yes",8
14,3,0,"N","No",32
14,3,0,"N","No",24
14,3,1,"N","Yes",16
14,4,0,"H","No",8
14,4,0,"P","No",20
14,4,1,"P","No",16
14,5,1,"N","Yes",16
14,5,0,"P","Yes",12
14,5,0,"P","Yes",32
14,6,0,"N","Yes",12
14,6,1,"N","Yes",20
14,6,0,"N","No",32
14,7,0,"P","Yes",24
14,7,0,"H","Yes",24
14,7,1,"P","No",16
14,8,0,"P","Yes",20
14,8,0,"H","Yes",24
14,8,1,"N","No",12
14,9,0,"N","Yes",28
14,9,1,"N","Yes",20
14,9,0,"H","No",16
14,10,1,"H","Yes",20
14,10,0,"P","No",24
14,10,0,"H","No",28
15,1,0,"P","No",8
15,1,1,"P","Yes",8
15,1,0,"H","No",16
15,2,0,"N","Yes",16
15,2,0,"P","Yes",32
15,2,1,"H","No",16
15,3,0,"P","No",24
15,3,1,"N","No",20
15,3,0,"N","Yes",20
15,4,0,"P","Yes",8
15,4,1,"P","No",8
15,4,0,"H","Yes",20
15,5,0,"P","No",20
15,5,1,"H","Yes",8
15,5,0,"H","Yes",16
15,6,0,"N","Yes",12
15,6,1,"N","No",28
15,6,0,"N","Yes",28
15,7,0,"N","No",32
15,7,0,"H","Yes",12
15,7,1,"H","Yes",16
15,8,1,"P","Yes",12
15,8,0,"N","Yes",8
15,8,0,"H","Yes",12
15,9,0,"P","No",12
15,9,1,"N","No",8
15,9,0,"N","No",32
15,10,0,"H","No",16
15,10,1,"P","Yes",16
15,10,0,"H","Yes",8
16,1,1,"N","No",24
16,1,0,"P","No",24
16,1,0,"H","Yes",32
16,2,1,"H","No",20
16,2,0,"N","No",32
16,2,0,"H","Yes",28
16,3,1,"H","No",8
16,3,0,"N","Yes",24
16,3,0,"P","Yes",24
16,4,0,"P","Yes",12
16,4,1,"N","No",16
16,4,0,"H","Yes",32
16,5,0,"H","No",24
16,5,0,"N","Yes",24
16,5,1,"H","Yes",8
16,6,1,"P","Yes",20
16,6,0,"P","No",28
16,6,0,"P","Yes",16
16,7,1,"H","No",20
16,7,0,"H","No",24
16,7,0,"P","Yes",12
16,8,0,"N","No",20
16,8,0,"P","No",16
16,8,1,"H","Yes",12
16,9,1,"N","No",16
16,9,0,"P","Yes",24
16,9,0,"P","No",28
16,10,0,"N","Yes",16
16,10,1,"H","No",28
16,10,0,"N","Yes",24
17,1,1,"N","Yes",16
17,1,0,"H","Yes",20
17,1,0,"N","Yes",24
17,2,1,"N","Yes",16
17,2,0,"H","No",32
17,2,0,"P","No",28
17,3,0,"N","Yes",16
17,3,1,"P","No",20
17,3,0,"N","No",24
17,4,0,"P","Yes",32
17,4,0,"H","No",20
17,4,1,"N","No",16
17,5,0,"P","Yes",28
17,5,1,"H","Yes",24
17,5,0,"H","Yes",16
17,6,1,"N","No",12
17,6,0,"N","No",20
17,6,0,"H","No",28
17,7,0,"N","Yes",32
17,7,0,"H","Yes",24
17,7,1,"H","Yes",12
17,8,1,"P","No",20
17,8,0,"H","No",12
17,8,0,"H","Yes",16
17,9,0,"N","Yes",12
17,9,1,"P","No",24
17,9,0,"N","No",28
17,10,0,"N","Yes",8
17,10,1,"N","No",12
17,10,0,"H","Yes",32
18,1,0,"P","No",20
18,1,0,"H","No",8
18,1,1,"P","Yes",28
18,2,0,"P","Yes",24
18,2,1,"N","No",16
18,2,0,"P","Yes",8
18,3,0,"N","No",24
18,3,0,"H","Yes",20
18,3,1,"P","No",20
18,4,0,"N","Yes",24
18,4,0,"H","Yes",32
18,4,1,"H","No",8
18,5,0,"N","No",12
18,5,1,"N","No",24
18,5,0,"H","No",12
18,6,0,"H","Yes",28
18,6,0,"H","No",28
18,6,1,"N","Yes",16
18,7,0,"H","No",24
18,7,1,"H","No",16
18,7,0,"H","Yes",32
18,8,0,"H","Yes",8
18,8,0,"N","Yes",24
18,8,1,"P","No",12
18,9,1,"P","No",12
18,9,0,"P","Yes",32
18,9,0,"P","Yes",28
18,10,0,"N","No",20
18,10,0,"P","No",16
18,10,1,"P","No",8
19,1,0,"P","Yes",28
19,1,1,"P","No",28
19,1,0,"H","Yes",24
19,2,0,"H","Yes",16
19,2,1,"P","No",28
19,2,0,"H","No",24
19,3,1,"N","Yes",12
19,3,0,"P","Yes",8
19,3,0,"N","No",16
19,4,0,"H","No",20
19,4,0,"H","Yes",20
19,4,1,"H","No",16
19,5,0,"N","Yes",20
19,5,0,"P","No",8
19,5,1,"N","No",16
19,6,0,"H","Yes",16
19,6,1,"P","Yes",24
19,6,0,"P","Yes",20
19,7,0,"H","No",20
19,7,1,"P","No",16
19,7,0,"N","Yes",12
19,8,0,"N","Yes",16
19,8,0,"P","Yes",16
19,8,1,"N","No",8
19,9,1,"N","No",16
19,9,0,"P","No",32
19,9,0,"H","Yes",12
19,10,0,"N","No",20
19,10,0,"H","No",20
19,10,1,"P","Yes",16
20,1,0,"N","No",32
20,1,1,"N","Yes",28
20,1,0,"H","Yes",32
20,2,0,"P","Yes",16
20,2,1,"N","Yes",8
20,2,0,"P","No",20
20,3,0,"N","Yes",28
20,3,0,"H","Yes",20
20,3,1,"P","No",16
20,4,1,"H","No",12
20,4,0,"P","Yes",28
20,4,0,"N","Yes",20
20,5,0,"P","No",16
20,5,0,"H","Yes",12
20,5,1,"P","No",20
20,6,0,"N","No",16
20,6,0,"P","Yes",12
20,6,1,"P","No",8
20,7,1,"N","No",24
20,7,0,"N","Yes",32
20,7,0,"N","Yes",20
20,8,0,"P","Yes",12
20,8,1,"N","Yes",24
20,8,0,"P","Yes",16
20,9,0,"P","Yes",12
20,9,0,"H","No",20
20,9,1,"P","No",8
20,10,0,"N","Yes",32
20,10,1,"P","No",28
20,10,0,"N","No",8
21,1,1,"N","No",12
21,1,0,"H","No",12
21,1,0,"H","Yes",8
21,2,0,"N","Yes",32
21,2,0,"P","Yes",12
21,2,1,"P","No",16
21,3,0,"P","Yes",28
21,3,1,"P","Yes",8
21,3,0,"P","No",16
21,4,0,"H","No",16
21,4,0,"P","Yes",24
21,4,1,"H","No",24
21,5,0,"P","No",24
21,5,0,"H","No",12
21,5,1,"N","Yes",8
21,6,1,"N","Yes",12
21,6,0,"P","No",8
21,6,0,"N","No",12
21,7,0,"N","Yes",28
21,7,1,"P","No",8
21,7,0,"H","Yes",32
21,8,1,"N","No",12
21,8,0,"P","No",24
21,8,0,"H","No",24
21,9,1,"P","Yes",16
21,9,0,"N","Yes",12
21,9,0,"N","No",28
21,10,0,"H","Yes",16
21,10,1,"N","Yes",20
21,10,0,"H","No",16
22,1,1,"H","No",16
22,1,0,"H","Yes",8
22,1,0,"N","Yes",32
22,2,1,"N","Yes",8
22,2,0,"H","Yes",32
22,2,0,"H","Yes",16
22,3,0,"H","Yes",28
22,3,0,"P","Yes",32
22,3,1,"N","No",32
22,4,0,"P","Yes",24
22,4,1,"H","No",16
22,4,0,"P","No",8
22,5,1,"P","No",24
22,5,0,"H","Yes",12
22,5,0,"N","No",20
22,6,0,"H","Yes",32
22,6,0,"P","No",32
22,6,1,"P","Yes",16
22,7,0,"P","Yes",20
22,7,1,"P","No",16
22,7,0,"H","No",20
22,8,0,"N","Yes",16
22,8,1,"H","No",12
22,8,0,"H","No",8
22,9,1,"P","No",12
22,9,0,"N","Yes",20
22,9,0,"H","No",32
22,10,1,"P","No",12
22,10,0,"H","Yes",24
22,10,0,"P","Yes",8
23,1,0,"H","Yes",32
23,1,0,"H","No",28
23,1,1,"N","No",24
23,2,1,"P","No",8
23,2,0,"N","Yes",28
23,2,0,"H","Yes",12
23,3,1,"P","No",12
23,3,0,"P","No",24
23,3,0,"P","No",16
23,4,0,"H","No",12
23,4,0,"N","Yes",20
23,4,1,"N","Yes",12
23,5,0,"H","No",20
23,5,0,"N","Yes",20
23,5,1,"P","No",12
23,6,0,"P","No",32
23,6,0,"P","No",20
23,6,1,"P","No",16
23,7,0,"H","No",20
23,7,0,"P","Yes",32
23,7,1,"N","Yes",24
23,8,0,"H","No",12
23,8,0,"P","No",32
23,8,1,"N","No",16
23,9,0,"H","Yes",20
23,9,0,"N","No",28
23,9,1,"N","No",24
23,10,0,"P","Yes",24
23,10,0,"H","Yes",20
23,10,1,"P","No",32
24,1,1,"H","No",24
24,1,0,"H","No",12
24,1,0,"H","Yes",28
24,2,0,"H","Yes",28
24,2,0,"H","No",20
24,2,1,"H","Yes",12
24,3,1,"N","Yes",28
24,3,0,"H","Yes",24
24,3,0,"P","No",28
24,4,0,"N","Yes",32
24,4,1,"N","No",12
24,4,0,"N","Yes",20
24,5,0,"P","Yes",28
24,5,0,"N","Yes",20
24,5,1,"N","No",8
24,6,0,"P","No",24
24,6,1,"N","Yes",16
24,6,0,"H","No",28
24,7,0,"H","Yes",8
24,7,0,"N","Yes",24
24,7,1,"H","Yes",20
24,8,1,"P","No",8
24,8,0,"N","Yes",20
24,8,0,"H","No",24
24,9,0,"P","No",24
24,9,0,"N","No",28
24,9,1,"P","No",16
24,10,0,"N","No",32
24,10,1,"H","Yes",28
24,10,0,"N","No",28
25,1,0,"P","Yes",32
25,1,1,"N","Yes",16
25,1,0,"H","No",12
25,2,0,"H","Yes",28
25,2,1,"P","No",12
25,2,0,"P","Yes",12
25,3,0,"P","Yes",16
25,3,0,"H","Yes",24
25,3,1,"P","No",12
25,4,0,"N","Yes",20
25,4,0,"H","Yes",20
25,4,1,"H","No",8
25,5,1,"N","No",16
25,5,0,"H","Yes",12
25,5,0,"N","Yes",32
25,6,0,"P","No",8
25,6,0,"H","No",24
25,6,1,"N","No",8
25,7,1,"N","No",24
25,7,0,"H","Yes",20
25,7,0,"H","No",8
25,8,0,"P","No",16
25,8,1,"P","No",12
25,8,0,"N","No",32
25,9,0,"N","Yes",20
25,9,1,"N","Yes",8
25,9,0,"N","No",28
25,10,0,"P","Yes",20
25,10,0,"P","Yes",24
25,10,1,"N","No",8
26,1,0,"N","Yes",24
26,1,0,"P","No",16
26,1,1,"H","Yes",20
26,2,1,"P","No",8
26,2,0,"P","No",24
26,2,0,"H","Yes",12
26,3,1,"N","Yes",28
