"brand","id","satisfaction","trust","build","differs","easy","appealing","rewarding","popular","service","impact"
1,98,3,1,0,1,1,1,0,0,1,0
1,179,5,0,0,0,0,0,0,0,0,0
1,197,3,1,0,0,1,1,1,0,1,1
1,317,1,0,0,0,0,1,0,1,1,1
1,356,4,1,1,1,1,1,1,1,1,1
1,395,4,1,1,0,1,1,0,1,1,0
1,586,3,1,1,1,1,1,0,1,1,0
1,596,2,1,1,1,1,1,1,0,1,1
1,978,3,1,0,0,0,0,0,1,0,0
1,987,3,1,1,1,1,1,1,1,1,1
1,1002,5,0,0,0,0,0,0,0,0,0
1,1039,2,0,0,1,1,0,0,0,0,1
1,1087,4,1,0,0,1,1,0,1,0,0
1,1226,5,1,1,1,1,1,1,1,1,1
1,1282,3,1,1,0,1,0,0,0,1,0
1,1548,4,1,0,1,1,0,0,1,1,1
1,1594,4,1,0,1,1,1,1,1,0,1
1,1637,3,1,0,0,1,1,0,0,1,0
1,1739,5,0,0,0,0,1,1,0,0,0
1,1796,4,1,1,1,0,0,0,0,1,0
1,1822,4,0,0,1,0,1,0,0,1,0
1,1856,1,0,0,0,0,0,0,0,0,0
1,1871,3,1,1,1,1,1,1,1,1,1
1,2055,2,1,1,1,1,1,1,1,1,1
1,2111,3,0,0,0,0,0,0,0,0,0
1,2133,4,1,0,1,1,1,0,1,1,0
1,2154,4,0,0,0,1,1,0,1,0,1
1,2241,4,0,0,0,0,0,0,1,0,0
1,2273,4,1,0,0,0,0,1,0,1,0
1,2295,1,0,0,0,0,0,0,0,0,0
1,2297,3,0,0,0,1,0,0,1,0,0
1,2298,4,1,0,0,1,0,0,1,0,1
1,2434,4,1,0,0,1,1,1,1,1,1
1,2527,5,0,0,0,0,0,0,0,0,0
1,2586,4,1,1,1,1,1,1,1,1,1
1,2605,3,1,1,1,1,1,0,1,1,1
1,2970,2,0,0,0,0,0,0,0,0,0
1,2993,3,1,1,0,1,1,1,0,1,1
1,3103,4,1,0,0,0,1,0,1,1,1
1,3154,5,1,1,1,1,1,1,1,1,1
1,3166,1,1,1,1,1,1,1,1,1,1
1,3233,4,1,1,0,1,0,1,1,1,1
1,3447,3,0,0,1,0,0,0,0,0,0
1,3671,2,1,1,1,0,1,1,1,1,0
1,3686,3,1,1,1,1,1,0,0,1,0
1,3707,4,1,1,1,1,1,1,1,1,0
1,3784,4,0,0,1,1,1,0,0,0,0
1,3825,4,1,0,1,1,1,0,0,1,0
1,3838,4,1,1,0,1,1,1,1,0,0
1,3907,4,1,0,0,1,0,0,0,0,0
1,3918,5,1,0,1,1,1,1,1,1,1
1,3948,3,1,1,1,1,1,1,1,1,1
1,4026,5,0,0,0,0,0,0,0,0,0
1,4117,4,1,0,0,0,1,1,1,0,0
1,4286,4,1,0,0,1,1,0,1,0,0
1,4317,2,1,0,1,0,1,0,1,0,0
1,4404,5,1,0,0,0,1,1,1,1,0
1,4746,5,1,1,1,1,1,1,1,1,1
1,4844,3,0,1,0,1,0,1,0,1,0
1,4942,5,0,1,0,1,1,0,1,1,1
1,4973,5,1,1,1,1,1,1,1,1,1
1,5098,5,1,1,1,1,1,1,1,0,1
1,5152,1,1,1,0,0,1,0,1,1,0
1,5227,3,1,1,1,1,1,1,1,1,1
1,5237,4,0,0,0,1,0,0,0,1,0
1,5279,5,1,1,0,1,1,1,0,1,0
1,5612,4,1,0,0,1,1,0,0,1,0
1,5745,2,1,1,1,1,1,1,0,1,1
1,5790,2,0,0,0,0,0,0,0,0,0
1,5793,4,1,0,1,1,0,0,1,1,1
1,5811,3,0,0,0,0,0,0,0,0,0
1,5854,3,0,0,0,0,1,0,0,1,0
1,5857,4,0,0,0,0,0,0,0,0,0
1,5876,2,0,1,1,1,1,1,0,0,0
1,5927,5,0,0,0,0,0,0,0,0,0
1,5970,4,0,1,1,1,1,0,1,0,1
1,6036,4,1,1,1,1,1,1,1,1,0
1,6041,4,0,0,0,1,1,0,1,0,1
1,6071,4,1,1,0,1,1,1,1,0,0
1,6073,4,1,1,1,1,1,1,1,1,0
1,6102,1,0,0,0,0,0,0,0,0,0
1,6157,4,1,0,1,1,0,0,0,0,0
1,6255,5,1,1,1,1,1,1,1,1,1
1,6307,4,1,1,1,1,1,1,1,1,1
1,6309,4,1,0,1,0,1,1,0,0,1
1,6319,2,0,0,0,0,0,0,1,0,0
1,6473,3,1,1,0,1,1,0,0,1,0
1,6477,3,1,0,0,1,1,0,1,1,1
1,6581,3,1,0,0,1,0,1,1,0,0
1,6621,4,1,0,1,1,1,1,1,1,0
1,6622,3,0,0,0,0,0,0,1,0,0
1,6630,4,1,0,1,1,1,1,0,1,1
1,6636,2,1,1,1,1,1,1,1,0,1
1,6860,3,1,1,1,1,1,1,1,1,1
1,6976,2,0,1,1,1,1,1,0,1,1
1,7166,1,0,0,0,0,0,0,0,0,0
1,7221,4,1,0,1,0,0,0,0,1,1
1,7285,4,1,1,1,1,1,1,0,1,1
1,7450,3,0,0,0,0,0,0,0,0,0
1,7466,1,0,0,0,0,0,0,1,0,0
1,7526,4,1,1,1,1,1,1,1,1,1
1,7537,5,1,0,0,0,1,1,1,0,0
1,7638,5,1,1,1,1,1,1,0,1,1
1,7665,3,0,0,0,0,0,0,0,0,0
1,7711,4,1,0,0,0,0,1,1,1,0
1,7730,2,1,1,1,1,1,1,1,1,1
1,7734,5,0,1,0,1,0,1,0,0,0
1,7751,1,1,1,1,1,1,1,1,1,1
1,7837,2,1,1,1,0,1,0,0,1,0
1,7857,5,1,0,0,1,1,1,1,1,0
1,8109,3,0,1,0,0,0,1,1,0,0
1,8145,5,1,1,1,1,1,0,1,1,1
1,8220,5,1,0,1,0,0,1,0,0,1
1,8252,4,1,1,0,1,1,1,1,1,0
1,8311,2,0,0,0,0,0,0,0,0,0
1,8349,5,0,0,0,0,0,0,0,0,0
1,8366,4,1,1,1,1,0,0,1,1,1
1,8407,5,1,1,1,0,1,0,1,1,1
1,8418,4,0,0,0,1,1,0,0,0,0
1,8461,2,0,0,0,0,0,0,1,0,0
1,8538,5,1,1,1,1,1,1,1,0,1
1,8667,4,1,1,1,1,1,1,1,0,1
1,8721,5,1,1,1,1,1,1,1,1,1
1,8726,3,1,1,1,1,1,1,1,1,0
1,8728,2,0,0,0,0,0,0,0,0,0
1,8806,4,1,0,0,1,0,1,1,1,1
1,8878,3,1,0,1,1,1,1,1,1,1
1,8909,4,1,0,0,1,0,0,1,1,0
1,8913,4,1,0,0,0,0,0,0,1,0
1,8937,4,1,1,1,1,1,1,1,1,1
1,8995,4,1,1,1,1,1,1,1,1,1
1,9099,5,1,0,1,1,0,1,1,1,1
1,9197,5,0,0,0,1,1,1,1,1,0
1,9251,3,0,0,0,0,0,0,1,0,0
1,9320,3,0,0,0,1,1,1,1,1,0
1,9340,2,1,0,0,1,1,0,0,1,0
1,9347,3,1,1,1,0,1,1,1,1,0
1,9383,4,0,0,0,1,1,1,1,1,0
1,9451,3,1,0,0,0,0,0,0,0,0
1,9627,4,1,1,1,1,1,1,1,1,1
1,9689,4,1,0,1,1,1,0,0,1,1
1,9740,4,0,0,0,0,1,0,1,0,0
1,9845,3,1,1,0,1,0,0,0,1,0
1,9874,2,0,0,0,1,0,0,0,0,0
1,9931,4,1,0,1,1,1,1,1,1,1
1,9943,3,0,1,1,1,0,0,0,1,0
1,9977,1,1,1,0,1,0,1,0,0,0
1,10020,5,1,1,0,1,0,1,0,1,1
1,10189,4,1,1,1,1,1,1,1,1,1
1,10223,1,1,1,1,1,1,1,1,1,1
1,10243,3,0,0,0,1,0,0,1,1,0
1,10343,5,1,1,1,1,1,0,1,1,1
1,10459,3,0,0,0,0,0,0,0,0,0
1,10519,4,1,0,0,0,1,1,0,0,0
1,10537,1,0,0,1,0,0,0,0,0,0
1,10561,4,1,0,0,1,0,0,0,0,0
1,10624,4,1,1,0,1,1,0,1,0,1
1,10631,4,1,0,0,1,0,0,1,1,0
1,10654,4,1,0,0,1,0,0,0,1,1
1,10665,4,0,0,0,0,0,0,0,0,0
1,10706,3,1,0,1,1,1,1,1,0,1
1,10710,5,0,0,1,1,1,1,1,1,1
1,10724,2,1,0,0,1,0,0,0,1,1
1,10769,4,0,1,0,0,0,1,0,0,0
1,10773,2,1,1,1,1,1,1,0,1,1
1,10918,1,0,0,0,0,0,0,0,0,0
1,11006,3,0,0,0,0,0,0,1,0,0
1,11016,3,1,0,0,0,0,0,0,1,1
1,11039,5,1,0,1,1,1,1,0,1,1
1,11364,5,1,0,0,1,1,0,1,0,0
1,11378,3,0,0,1,0,0,0,0,1,0
1,11385,5,1,1,1,1,1,1,1,1,1
1,11404,4,1,0,1,0,1,0,1,1,0
1,11513,3,1,1,0,1,0,0,0,0,0
1,11621,4,1,0,0,0,1,0,0,0,0
1,11669,4,0,0,1,0,0,0,0,0,1
1,11670,5,1,1,0,1,0,1,1,1,0
1,11703,5,0,0,0,1,1,0,1,0,0
1,11888,4,1,0,1,1,1,1,1,1,0
1,12167,3,1,0,0,0,0,0,0,0,0
1,12365,4,1,1,1,1,1,1,1,1,1
1,12431,3,0,0,1,0,0,0,0,0,0
1,12521,4,1,1,1,0,1,1,1,0,0
1,12786,4,0,0,1,1,1,1,1,0,0
1,12987,5,1,1,1,1,1,1,1,1,1
1,13008,4,0,0,0,1,1,1,0,0,0
1,13052,5,1,0,0,1,1,1,1,1,0
1,13198,1,1,1,1,1,1,1,1,1,1
1,13214,5,1,1,0,0,1,1,1,0,0
1,13216,5,1,1,1,1,1,1,1,1,1
1,13329,5,1,1,1,1,1,0,0,1,0
1,13389,4,1,0,1,1,1,1,0,0,1
1,13496,3,0,0,0,0,0,0,0,0,0
1,13699,3,1,0,1,1,1,0,1,1,1
1,13735,3,0,1,0,1,1,1,0,0,1
1,13741,2,1,1,1,1,1,1,1,1,1
1,13909,5,1,1,1,1,1,1,1,1,0
1,14008,5,1,1,1,1,0,0,1,1,1
1,14019,3,1,0,0,0,0,0,0,0,0
1,14059,4,1,0,0,0,0,1,0,1,1
1,14153,5,1,1,1,1,1,1,1,1,1
1,14188,3,1,1,1,1,1,1,1,1,1
1,14197,4,1,1,1,0,1,1,0,1,0
1,14210,2,1,0,0,1,0,0,1,0,0
1,14420,1,1,1,1,1,1,1,1,1,1
1,14448,1,1,1,0,1,0,1,1,1,0
1,14488,5,1,1,0,1,0,1,1,1,0
1,14590,4,1,0,0,0,0,1,1,1,0
1,14770,3,0,0,0,0,0,0,1,0,0
1,14800,2,0,1,0,0,0,0,0,0,1
1,15054,3,1,1,0,1,1,1,1,1,1
1,15119,5,0,1,0,1,1,0,1,1,1
1,15126,4,1,1,1,1,1,1,1,1,1
1,15135,3,0,0,1,1,1,1,1,1,0
1,15170,4,1,0,0,1,1,0,1,1,0
1,15238,1,0,0,0,0,0,0,0,0,0
1,15389,4,1,1,0,1,1,1,0,0,1
1,15478,4,0,1,0,0,0,0,1,1,1
1,15487,5,1,1,0,1,1,1,1,1,1
1,15570,2,0,0,0,0,0,0,1,0,0
1,15615,4,1,1,1,1,1,0,1,1,1
1,15772,4,1,0,1,1,1,1,0,1,1
1,15803,4,0,0,1,0,0,1,0,1,0
1,15830,4,1,1,1,1,1,1,1,1,1
1,15867,2,1,0,1,1,1,0,0,1,0
1,15914,4,0,0,1,0,1,1,0,0,1
1,15926,4,0,0,0,1,1,1,0,1,1
1,15933,5,0,1,0,0,1,0,1,1,1
1,15936,4,0,1,1,1,1,1,1,1,0
1,15948,4,0,0,0,0,0,0,0,1,0
1,16012,4,1,1,0,1,1,1,1,1,1
1,16081,4,1,1,1,1,1,1,1,1,1
1,16088,5,0,0,0,0,0,0,0,0,0
1,16120,4,0,0,0,0,0,0,0,0,0
1,16148,5,1,0,1,1,0,0,1,0,0
1,16149,5,1,0,1,1,1,1,1,1,1
1,16171,4,0,0,0,0,0,0,0,0,0
1,16206,4,1,0,0,1,1,0,0,1,0
1,16257,3,0,0,0,0,0,0,1,0,0
1,16307,4,1,1,1,1,1,1,1,0,1
1,16461,2,1,0,0,1,0,0,1,1,0
1,16508,4,1,0,0,1,0,0,1,1,1
1,16516,1,0,0,0,0,0,0,0,0,0
1,16602,4,1,0,0,1,0,0,1,1,1
1,16730,1,1,1,0,1,0,0,1,0,0
1,16820,4,1,0,1,1,1,1,1,0,1
1,16981,4,1,1,1,1,1,1,1,1,1
1,16983,3,1,0,0,0,0,1,1,1,0
1,17022,4,0,0,0,0,0,0,0,0,0
1,17047,2,0,0,1,1,1,0,1,0,0
1,17205,5,1,1,1,1,1,1,1,1,1
1,17217,4,1,1,0,1,1,0,1,1,1
1,17220,3,0,0,0,0,1,0,0,0,0
1,17303,3,1,0,0,0,0,0,0,0,0
1,17385,4,1,0,0,0,0,0,1,0,0
1,17410,5,0,0,0,0,0,0,0,0,0
1,17431,5,1,0,1,1,1,1,1,0,1
1,17441,2,1,1,0,1,0,1,0,1,0
1,17625,3,1,1,1,1,1,0,1,1,1
1,17629,4,1,1,1,1,1,0,1,1,1
1,17730,4,1,1,0,1,1,1,0,1,0
1,17945,4,0,1,0,1,1,1,1,1,0
1,17954,4,1,0,0,1,1,1,0,1,1
1,18073,1,1,0,0,0,0,0,1,0,0
2,179,5,0,0,0,0,0,0,0,0,0
2,309,4,1,1,1,1,1,1,1,1,1
2,356,3,1,0,0,1,1,0,1,0,0
2,364,4,1,0,0,1,1,1,1,1,1
2,369,4,0,1,0,1,0,1,1,0,1
2,391,5,0,0,1,0,0,0,0,0,1
2,397,3,0,0,0,0,0,0,1,0,0
2,474,3,0,0,0,0,0,0,0,0,0
2,520,2,0,1,1,1,1,1,1,1,1
2,596,1,0,0,0,0,0,0,1,0,0
2,648,3,1,1,0,1,0,1,0,1,1
2,860,3,1,1,0,1,1,1,1,1,0
2,914,4,0,1,1,1,0,1,0,1,0
2,987,3,1,1,1,0,1,1,1,1,1
2,1113,2,0,0,0,0,0,0,1,1,0
2,1237,4,1,1,0,1,1,1,1,1,1
2,1294,2,0,0,0,0,0,0,0,0,0
2,1551,3,0,0,0,0,0,0,1,0,1
2,1594,5,1,1,0,0,0,0,0,0,1
2,1719,3,1,0,0,1,0,0,1,0,1
2,1730,1,1,1,0,0,1,1,1,1,0
2,1736,5,1,1,1,1,1,1,1,1,1
2,1739,3,0,0,0,0,0,0,1,0,0
2,1795,2,1,1,1,1,1,1,1,1,1
2,1796,5,1,1,0,0,0,1,0,1,0
2,1836,5,1,0,0,1,0,0,1,1,0
2,1871,3,1,1,1,1,1,1,1,1,1
2,1987,3,1,1,0,1,0,0,1,0,0
2,2111,3,0,0,0,0,0,0,0,0,0
2,2133,1,0,0,0,0,0,0,0,0,0
2,2154,5,1,0,0,0,0,0,1,0,0
2,2186,2,0,0,0,0,0,0,0,0,0
2,2240,5,1,1,1,1,1,1,1,1,1
2,2272,1,0,0,1,1,1,1,0,1,0
2,2298,3,0,0,0,0,0,0,1,0,0
2,2339,3,1,1,1,1,1,1,1,1,0
2,2434,4,1,0,0,1,0,0,1,0,0
2,2443,4,0,1,1,1,1,1,1,1,1
2,2527,3,0,0,0,0,0,0,0,0,0
2,2535,5,1,0,0,0,0,0,1,0,0
2,2584,3,0,0,0,0,0,0,0,0,0
2,2605,3,1,1,1,1,0,1,0,1,1
2,2733,5,1,0,1,1,1,0,1,0,0
2,2894,3,1,1,1,1,1,1,1,1,1
2,2910,5,1,1,0,1,1,1,1,0,1
2,2968,3,0,0,0,0,0,0,0,0,0
2,2970,1,1,1,1,1,1,1,1,1,1
2,3103,4,1,0,0,0,1,0,1,1,1
2,3233,4,1,1,1,1,0,1,0,1,1
2,3290,3,0,0,0,0,1,1,0,0,0
2,3316,4,1,1,0,1,1,1,1,1,1
2,3343,3,1,0,0,0,1,1,1,1,0
2,3431,4,1,1,0,0,0,1,1,0,1
2,3447,5,0,1,0,0,0,1,0,0,1
2,3564,3,0,0,0,0,0,0,1,1,0
2,3607,5,1,1,1,1,1,1,1,1,1
2,3784,1,0,0,0,0,0,0,0,0,0
2,3842,2,1,0,0,1,1,0,0,1,0
2,3852,1,1,0,0,0,1,1,1,1,1
2,3892,4,0,0,0,0,0,0,0,0,0
2,3907,4,1,0,1,0,0,0,0,0,0
2,3918,5,1,1,1,1,1,1,1,1,1
2,3965,3,1,1,0,1,1,1,1,1,0
2,3978,3,0,1,0,1,0,0,1,1,0
2,3993,4,1,0,1,1,1,1,0,1,0
2,4066,1,0,0,0,0,0,0,0,1,0
2,4093,5,0,0,0,0,0,0,0,0,0
2,4735,1,1,1,1,1,1,1,1,1,1
2,4746,5,0,0,0,0,1,0,0,1,1
2,4806,3,1,0,0,1,1,1,1,0,1
2,4973,5,1,1,1,1,1,1,1,1,1
2,5090,4,1,0,0,0,1,1,0,0,0
2,5215,4,1,1,1,1,0,1,1,1,0
2,5262,4,0,0,0,1,1,0,1,1,0
2,5358,3,1,0,1,1,1,1,1,0,0
2,5378,3,0,0,0,0,1,1,1,1,0
2,5437,5,0,0,0,0,1,0,0,0,1
2,5462,4,1,1,0,1,1,1,1,1,0
2,5772,4,1,1,1,1,1,1,1,1,1
2,5790,1,0,0,0,0,0,0,0,0,0
2,5794,4,1,1,1,1,1,0,1,1,1
2,5857,3,0,0,1,0,0,0,1,0,1
2,5970,5,0,1,0,0,0,0,1,0,0
2,5971,3,1,1,0,1,0,0,1,1,0
2,5973,4,1,1,1,1,1,1,1,0,0
2,5982,3,1,0,0,0,0,0,0,1,0
2,5999,2,0,0,0,0,0,0,0,0,0
2,6036,2,0,0,0,0,0,0,0,0,0
2,6041,4,1,1,1,0,1,1,1,1,0
2,6102,2,1,1,1,1,1,1,1,1,0
2,6145,3,0,0,0,0,0,0,0,0,0
2,6174,4,0,0,0,0,0,0,0,0,0
2,6178,3,0,1,1,1,1,1,1,0,1
2,6278,3,1,0,0,1,1,1,0,0,0
2,6287,4,0,0,0,0,0,0,0,0,0
2,6290,4,0,0,0,0,0,0,1,0,0
2,6417,4,1,1,0,1,1,1,1,0,1
2,6471,1,0,1,0,0,0,0,0,0,0
2,6496,5,0,1,0,1,1,1,1,1,1
2,6596,3,1,1,0,1,1,1,1,1,1
2,6630,1,0,0,0,0,1,1,0,0,0
2,6632,1,0,0,0,0,0,0,0,0,0
2,6841,4,0,0,1,0,0,0,1,0,0
2,6954,4,1,1,1,1,1,1,1,1,1
2,7285,2,0,0,0,0,1,1,0,0,0
2,7450,3,0,0,0,0,1,0,0,0,0
2,7537,4,0,0,0,0,0,0,1,0,0
2,7552,3,0,0,0,0,0,0,1,0,0
2,7646,1,0,0,0,0,0,0,0,0,0
2,7665,3,0,0,0,0,0,0,0,0,0
2,7730,3,1,1,1,1,0,1,1,1,0
2,7734,5,0,0,0,0,0,0,0,1,0
2,7774,3,0,0,0,1,1,1,1,0,1
2,7885,3,1,0,1,1,0,1,1,1,1
2,7925,4,1,0,0,1,1,1,1,1,0
2,8145,5,1,1,0,1,1,1,1,1,1
2,8245,5,0,0,0,1,0,0,0,0,0
2,8259,3,0,0,0,0,0,1,0,0,0
2,8331,5,0,0,1,1,1,1,1,1,1
2,8366,4,1,1,1,1,1,1,1,1,1
2,8467,3,1,1,0,1,0,0,1,0,0
2,8589,4,0,0,0,0,1,0,0,1,0
2,8642,2,0,1,1,1,1,0,0,1,0
2,8688,3,1,0,1,1,1,0,1,1,1
2,8693,3,1,0,0,0,0,0,0,0,0
2,8790,4,1,1,0,1,1,0,1,1,1
2,8878,3,1,1,0,1,1,1,0,0,0
2,8909,4,0,0,0,1,1,0,1,0,1
2,8967,2,0,0,0,0,0,0,0,0,0
2,8995,3,1,1,1,1,1,0,1,1,1
2,9044,2,1,1,1,1,1,1,0,1,1
2,9050,2,0,0,1,0,0,1,1,0,0
2,9058,2,0,0,0,0,0,0,0,0,0
2,9171,4,0,0,0,1,1,0,0,0,0
2,9197,3,0,0,0,0,1,1,1,0,0
2,9212,5,1,0,0,0,1,0,0,1,1
2,9497,3,1,0,0,0,1,1,1,0,0
2,9616,5,1,1,0,1,1,1,1,1,1
2,9627,2,0,0,0,0,0,0,0,0,0
2,9633,3,1,0,0,1,1,1,0,0,0
2,9652,2,0,0,0,0,0,0,0,0,0
2,9689,4,1,1,0,1,0,1,1,1,1
2,9702,1,0,0,1,0,0,1,0,0,0
2,9782,4,1,1,0,1,0,1,1,1,1
2,9833,4,1,1,1,1,1,1,1,1,1
2,9874,1,0,0,0,1,1,1,0,0,0
2,9890,4,1,0,1,0,0,0,0,0,0
2,9907,3,0,0,0,1,1,0,0,0,0
2,9942,4,1,1,1,1,1,1,1,1,0
2,9995,4,1,1,0,1,1,0,0,1,0
2,9996,3,0,0,0,0,0,0,0,0,0
2,10042,3,1,0,0,1,1,1,0,1,0
2,10069,3,0,1,0,0,0,0,0,0,0
2,10089,5,0,0,0,0,0,0,1,0,0
2,10106,1,1,0,0,0,0,0,0,0,0
2,10189,3,0,0,0,1,1,0,0,0,0
2,10220,3,0,0,0,0,0,0,0,0,0
2,10223,2,1,1,1,1,1,1,1,1,1
2,10238,4,1,0,1,0,1,0,0,1,0
2,10243,4,1,0,0,1,1,1,0,0,0
2,10454,4,0,0,0,0,0,0,0,0,0
2,10537,3,1,1,0,1,1,1,1,0,1
2,10561,5,0,0,0,1,0,0,0,0,0
2,10654,4,1,1,1,1,1,1,1,1,1
2,10665,3,0,0,1,0,1,0,1,0,0
2,10761,1,0,0,0,0,0,0,0,0,0
2,10935,1,0,0,0,0,0,0,0,0,0
2,10939,4,1,1,1,1,1,1,1,1,0
2,11039,5,0,1,0,0,1,0,0,0,0
2,11198,5,1,1,0,1,1,1,1,1,1
2,11385,5,1,0,0,1,0,0,1,0,1
2,11599,4,1,1,1,1,1,1,1,1,1
2,11669,4,0,0,0,0,1,1,1,0,0
2,11759,2,0,0,0,0,0,0,0,0,0
2,11975,4,1,0,0,1,1,1,0,0,1
2,12015,5,0,0,0,0,0,0,0,0,0
2,12156,4,1,1,1,1,1,1,1,1,1
2,12190,5,0,0,0,0,0,0,1,0,0
2,12259,1,1,0,0,1,1,1,1,1,1
2,12365,4,0,0,0,0,0,0,0,0,0
2,12431,4,0,1,0,1,0,0,1,0,0
2,12439,4,1,1,1,1,1,1,0,0,1
2,12521,4,0,1,0,0,1,1,0,1,1
2,12739,3,0,0,0,0,0,0,0,0,0
2,12987,5,0,0,0,0,0,1,1,1,0
2,13174,3,1,0,1,0,0,0,1,1,1
2,13221,3,0,0,0,0,1,0,1,0,0
2,13260,2,0,1,0,1,1,1,1,0,0
2,13294,4,0,0,0,0,0,0,0,0,0
2,13304,2,0,0,0,0,0,0,0,0,0
2,13314,5,0,0,0,1,0,0,0,0,1
2,13520,3,1,1,0,1,0,0,1,1,0
2,13545,5,0,0,0,0,0,0,0,0,0
2,13673,4,0,0,0,0,0,0,1,0,0
2,13735,4,1,1,0,1,1,1,1,0,1
2,13784,3,1,0,1,0,1,1,0,0,0
2,13844,2,1,0,1,0,0,1,1,1,0
2,13887,3,0,0,0,1,0,0,0,0,0
2,13907,4,1,1,0,0,1,0,1,0,0
2,13980,4,1,1,0,1,1,1,0,0,0
2,13997,4,1,1,0,0,0,1,0,1,1
2,14000,3,0,0,0,0,0,0,0,0,0
2,14018,4,0,0,0,0,0,0,0,0,0
2,14059,1,0,1,0,0,0,0,0,0,0
2,14141,3,0,0,0,0,0,0,0,1,0
2,14213,3,1,1,1,1,1,1,1,1,0
2,14348,2,1,1,0,1,1,1,0,1,0
2,14391,5,1,1,0,1,0,1,1,1,1
2,14420,1,0,0,0,0,0,0,0,0,0
2,14448,4,1,1,0,1,0,1,1,1,0
2,14462,4,1,0,0,0,0,1,0,1,0
2,14465,5,1,0,0,0,0,1,1,1,1
2,14474,3,0,1,1,0,1,1,1,1,1
2,14547,2,1,0,0,0,0,0,1,0,0
2,14752,4,1,1,1,1,1,1,1,1,1
2,14757,2,1,0,0,1,0,0,0,0,0
2,14771,5,0,0,0,0,0,0,0,0,0
2,14797,4,1,0,0,1,0,0,1,0,1
2,14800,5,1,1,0,1,0,1,1,1,1
2,14818,1,0,1,0,0,1,1,0,0,0
2,14842,3,1,0,0,0,1,1,1,0,0
2,14968,5,1,0,0,1,1,1,1,1,0
2,15093,4,1,1,1,1,1,1,1,1,1
2,15119,4,1,0,1,1,1,1,1,1,1
2,15135,4,1,1,0,1,0,1,0,1,1
2,15235,3,0,1,1,1,1,1,0,1,1
2,15478,4,1,1,1,1,1,1,1,1,1
2,15673,4,1,1,1,1,1,1,1,1,1
2,15790,5,1,1,1,1,1,1,1,1,1
2,15823,3,1,1,1,1,1,1,1,1,1
2,15830,1,0,1,0,1,0,0,1,0,0
2,15839,4,1,1,0,1,0,1,1,1,1
2,16019,4,1,1,0,1,1,1,1,0,0
2,16022,3,0,0,0,0,0,0,1,0,1
2,16037,4,0,0,1,0,0,0,1,1,1
2,16088,4,1,1,1,1,1,1,0,1,1
2,16259,5,1,1,1,1,1,1,1,1,0
2,16461,3,0,0,0,0,1,0,1,0,0
2,16508,1,0,0,0,0,0,0,1,0,0
2,16582,4,1,1,1,1,1,1,1,1,1
2,16602,4,1,0,0,1,1,0,1,1,1
2,16730,1,0,0,0,1,0,0,0,0,0
2,16790,4,1,1,1,1,1,1,1,1,1
2,16837,3,0,0,1,1,1,0,0,1,0
2,16851,4,1,1,0,1,1,1,1,1,1
